timestamp,speaker,role,company,utterance
00:00:05,Laura Kim,Customer Success Manager,Acme Corp,"Good morning everyone — thanks for joining. We have Jennifer, Carlos, and Rachel from GlobalRetail, and Derek is joining us from our side as well. Let's get started. Today's agenda is a quick account health check, open tickets update, and a preview of what's coming in Q2."
00:00:28,Jennifer Walsh,VP of Data & Analytics,GlobalRetail Enterprises,"Thanks Laura. Good to see everyone. I'll be honest — we've had a bit of a mixed quarter. Some things are working really well, but there are a few things that are starting to affect my team's confidence in the platform."
00:00:52,Laura Kim,Customer Success Manager,Acme Corp,"Completely understood, Jennifer. We want to address those directly today. Before we dive in — Carlos, Rachel — anything you want to flag upfront?"
00:01:04,Carlos Mendoza,Head of Data Engineering,GlobalRetail Enterprises,"Yeah, the Snowflake pipelines are running great. The P1 we had in February was handled fast — I want to give credit to the on-call team, they got us back up in under an hour. That was exactly the response we expect. No complaints there."
00:01:22,Rachel Okonkwo,Director of BI & Reporting,GlobalRetail Enterprises,"My experience has been a bit different. The PowerPoint export issue is still not fixed. My team does a Monday morning deck for our CMO and we're hitting that 20-slide cap every single week. It's not a minor inconvenience — it's a recurring embarrassment for us."
00:01:47,Derek Santos,Account Executive,Acme Corp,"Rachel, that's completely fair and I want to apologize — that ticket has been open since January and you haven't had a clear ETA from us. That's on us."
00:01:58,Rachel Okonkwo,Director of BI & Reporting,GlobalRetail Enterprises,"It's been open since January, yes. And before that, I raised it in November in a call with Laura. So this has been going on for four months. I'm not trying to make this adversarial, but I need to know when it's going to be fixed — not just that it's on the roadmap."
00:02:18,Laura Kim,Customer Success Manager,Acme Corp,"I hear you, Rachel. I have an update on that. Our product team has scoped the fix and it's scheduled for the Q2 release — targeting May 15th. I'll send a written confirmation after this call with that date locked in."
00:02:35,Rachel Okonkwo,Director of BI & Reporting,GlobalRetail Enterprises,"May 15th. Okay. I'm writing that down. Is that a hard commitment or a 'we're working toward it' date?"
00:02:44,Derek Santos,Account Executive,Acme Corp,"That's our target. I won't say it's contractually guaranteed since it's a product release, but it's our committed internal sprint goal and we'll communicate immediately if anything changes."
00:02:58,Jennifer Walsh,VP of Data & Analytics,GlobalRetail Enterprises,"I appreciate the transparency. Let's move on — what's the status on the GA4 mapping issue? Ticket ACME-8821? That one's been open since December."
